unique_pathways,a_in_pathway_entangled,b_out_pathway_entangled,c_in_pathway_not_entangled,d_out_pathway_not_entangled,odds_ratios,two_sided_p_values,corrected_p_values,enrich_p_values,deplete_p_values
R-HSA-166663,38,11517,41,8908,0.7168905366863143,0.14122645623874414,0.39691095544222205,0.9441901494896506,0.08604337640543115
R-HSA-173623,33,11522,37,8912,0.6898797727038277,0.14693083173647345,0.4055215510056713,0.9527269855773719,0.07600247938543764
R-HSA-198933,100,11455,97,8852,0.7966766866334287,0.11289988278078157,0.34925863018515163,0.9514220226313371,0.06483316610483553
R-HSA-202733,66,11489,85,8864,0.5990889357354868,0.0022049275086030934,0.022256310532848128,0.9993402031907673,0.0011519572428412088
R-HSA-2029481,34,11521,40,8909,0.6573148942728672,0.07821654764864533,0.27572695799734637,0.9724873818647505,0.0459248747764987
R-HSA-2029482,77,11478,46,8903,1.2983662950071981,0.17196875148067053,0.4525493460017646,0.09452456576841636,0.9329817346088005
R-HSA-2029485,45,11510,43,8906,0.8097634996599038,0.3338622389280343,0.6591403247890484,0.8635112934248048,0.18879420844993947
R-HSA-2168880,35,11520,39,8910,0.694132376385477,0.127166416673639,0.384455741554091,0.9540751252235014,0.07313380326953475
R-HSA-2454202,29,11526,37,8912,0.6060537864155954,0.04660173346249639,0.1911189364427414,0.9843085928094463,0.028370298349125907
R-HSA-2730905,37,11518,38,8911,0.7533165947875541,0.24378792968148663,0.5601097833697817,0.9102451772692275,0.13330656484740908
R-HSA-2871796,50,11505,39,8910,0.9928789855064287,1,1,0.5575560913832023,0.5275667735198545
R-HSA-2871809,49,11506,40,8909,0.9485374161071065,0.830834271423984,1,0.6399527459858261,0.4424439086167977
R-HSA-2871837,77,11478,64,8885,0.9313338685966471,0.6712906962268729,0.9335543317514727,0.6938764219514539,0.36804753152473196
R-HSA-5690714,34,11521,33,8916,0.7973560808636603,0.38847342723528944,0.7435986611171121,0.8531844127537971,0.21031524317565853
R-HSA-9664323,50,11505,49,8900,0.7893783695982116,0.26403818109132376,0.5603969292658895,0.8990303670269482,0.14132332481281576
R-HSA-9664422,75,11480,45,8904,1.292665923659449,0.1962203363866983,0.4945764633427918,0.10168950630535309,0.9277423215807045
R-HSA-9679191,101,11454,56,8893,1.4002866036205002,0.04367575630782929,0.1823356816734621,0.025309487910483063,0.9829768593448234
R-HSA-977606,53,11502,57,8892,0.7188516519448694,0.10085277933343309,0.3198133857918601,0.9658683911596935,0.051337506261403806
R-HSA-983695,52,11503,39,8910,1.0327763861998704,0.9159405007521847,1,0.48345551505744855,0.6000306698123494
R-HSA-9013106,63,11492,10,8939,4.900095812936439,7.328275262535123e-8,5.835478449796487e-6,3.7655964901634714e-8,0.9999999926384034
R-HSA-202424,63,11492,39,8910,1.252428794689632,0.31693509408856024,0.6428400493305703,0.15759337653741476,0.8862611497818
R-HSA-202427,15,11540,13,8936,0.8934868624258039,0.8494743988379994,1,0.6889665685405477,0.45450734667980125
R-HSA-202430,13,11542,12,8937,0.838837916435221,0.6902574003928896,0.9552691207845347,0.7404959272732538,0.40324710410496467
R-HSA-202433,27,11528,13,8936,1.6099010597236565,0.20125107978102055,0.5002959909922752,0.10224402126389624,0.9449881303356419
R-HSA-389948,15,11540,14,8935,0.8295788862445371,0.708736629427533,0.9577522019290986,0.7560529260745792,0.37364736515788166
R-HSA-6809371,34,11521,95,8854,0.27506237462861094,5.731179234694396e-12,1.232203535459295e-9,0.999999999998906,4.077663506971664e-12
R-HSA-9819196,10,11545,7,8942,1.106506355306066,1,1,0.5198127164402491,0.6698186336375433
R-HSA-5620924,34,11521,20,8929,1.3175145872470744,0.34035723851292315,0.6707314966111685,0.20019104459370554,0.8685817392197047
R-HSA-8866654,19,11536,34,8915,0.4318726552962976,0.003269766390078679,0.029784984646754248,0.9991688273653,0.0020805810614026813
R-HSA-6804116,9,11546,5,8944,1.394329278849316,0.6018084735458528,0.8862248069339612,0.3758218852675647,0.8059869464814016
R-HSA-8866652,8,11547,22,8927,0.281144594904526,0.0013537728734514072,0.015733036096867704,0.9997572478281571,9.512851485254203e-4
R-HSA-983168,196,11359,112,8837,1.3614317433043754,0.009200864186072803,0.06124414241503568,0.005303824552452525,0.9962436335189488
R-HSA-9845576,5,11550,3,8946,1.2908922543567811,1,1,0.5086890066302479,0.7559928620838485
R-HSA-1989781,74,11481,39,8910,1.4725040242134337,0.05679280184902476,0.21921817589839,0.029959153539048555,0.9810652786378651
R-HSA-381340,53,11502,30,8919,1.3699048269285299,0.18391585263296656,0.4752633211068246,0.10142449827785666,0.9331002801188222
R-HSA-9833110,36,11519,29,8920,0.9612727425104333,0.9007341400093786,1,0.6132368338685636,0.4848481210279171
R-HSA-9696270,36,11519,7,8942,3.9920391963255306,1.7623557923653036e-4,0.0036086332891289547,1.3504554080333794e-4,0.9999686305625952
R-HSA-437239,44,11511,4,8945,8.549314195758905,1.0208131783412964e-7,7.315827778112625e-6,8.487979946771618e-8,0.999999990601755
R-HSA-189200,12,11543,9,8940,1.0326627533732935,1,1,0.5619619223901693,0.6114439697790852
R-HSA-211728,2,11553,0,8949,Inf,0.5080528502542636,0.7961469592176872,0.31757500101476366,1
R-HSA-8980692,129,11426,19,8930,5.305956294249289,9.036895137584645e-16,3.2382207576344975e-13,4.513038380859408e-16,1
R-HSA-9013148,133,11422,21,8928,4.950107692860717,1.10776707770329e-15,3.4024274529458197e-13,8.437437053327804e-16,0.9999999999999998
R-HSA-9013149,163,11392,20,8929,6.387491024028302,5.716226468681082e-22,3.072471726916081e-19,3.2673876617241672e-22,1
R-HSA-6805567,13,11542,142,8807,0.06986845009236013,9.543164676740388e-37,6.839268018330611e-34,1,7.611546950236713e-37
R-HSA-2672351,69,11486,9,8940,5.966858047800585,1.2342237692079666e-9,1.5609300610571343e-7,7.667246175052039e-10,0.999999999876285
R-HSA-9733458,11,11544,2,8947,4.262404639431244,0.049305391077822155,0.19703827289464246,0.03341107768980764,0.9936127879756486
R-HSA-977225,17,11538,63,8886,0.20782202715852052,1.9021307343310574e-10,2.9211293420084098e-8,0.9999999999714602,1.4207277658541579e-10
R-HSA-193648,56,11499,3,8946,14.522122325008548,4.143019947535917e-11,7.4229107393351846e-9,3.1030840814614675e-11,0.9999999999979508
R-HSA-416482,58,11497,22,8927,2.0469501547132154,0.0032364944672587676,0.029784984646754248,0.0021117684404013486,0.9990336552994863
R-HSA-1221632,18,11537,39,8910,0.35646194748081494,2.3384982186074111e-4,0.004612634100922875,0.9999543175521446,1.3649643237774328e-4
R-HSA-9013406,47,11508,12,8937,3.0414250991473577,3.028546198487534e-4,0.00533719207110508,1.4943426468898264e-4,0.9999539395737604
R-HSA-9013408,56,11499,17,8932,2.5585965120226373,3.470430850557411e-4,0.0059217669275384395,2.3393156839918722e-4,0.9999138429011822
R-HSA-75876,20,11535,4,8945,3.877066223362188,0.0070291615396578175,0.04797681685798193,0.005188531222791662,0.9988215428948801
R-HSA-3000471,3,11552,2,8947,1.1617242098050404,1,1,0.6178878706314013,0.7230823331345928
R-HSA-212436,58,11497,299,8650,0.14597456182559418,4.806288839623691e-56,5.166760502595468e-53,1,4.198096881493768e-56
R-HSA-6811434,81,11474,20,8929,3.151457090112085,5.417605232343396e-7,3.0652240130363955e-5,3.8298548552644977e-7,0.9999998830860366
R-HSA-71064,12,11543,0,8949,Inf,0.0018092271098309777,0.018882710126876708,0.0010235122677745537,1
R-HSA-6782861,6,11549,0,8949,Inf,0.03891981224694475,0.16504456870006154,0.03201415317107108,1
R-HSA-8876198,77,11478,12,8937,4.995806861428221,1.1701154675725675e-9,1.5609300610571343e-7,8.694929997966452e-10,0.9999999998320083
R-HSA-6787639,6,11549,0,8949,Inf,0.03891981224694475,0.16504456870006154,0.03201415317107108,1
R-HSA-5083635,27,11528,11,8938,1.9030096900582198,0.07288167730428324,0.25942981159637246,0.04602682088575489,0.978738863859012
R-HSA-5173214,28,11527,11,8938,1.9736571682520294,0.05371259208415634,0.20920665395097127,0.03521104397533174,0.9842191847939326
R-HSA-9752946,9,11546,404,8545,0.016501114451050056,1.1139233215950626e-132,2.3949351414293845e-129,1,1.1139233215950434e-132
R-HSA-8873719,62,11493,3,8946,16.086204435550524,2.636714571032677e-12,6.298818141911395e-10,1.310388792786852e-12,0.9999999999999216
R-HSA-381753,5,11550,68,8881,0.056519119367000534,2.6066749664881417e-19,1.1208702355899008e-16,1,2.606674966488143e-19
R-HSA-5693568,31,11524,3,8946,8.019362014590504,1.47010461701644e-5,4.938632697789603e-4,1.0548871541440813e-5,0.9999987820033105
R-HSA-6783310,24,11531,14,8935,1.328325387871063,0.41871495297736533,0.7723214500753843,0.24887054625048688,0.8438043645688547
R-HSA-9662360,46,11509,20,8929,1.784344429082433,0.0339228423039242,0.15452142151151912,0.018231435113370505,0.9906410074140866
R-HSA-9662361,37,11518,11,8938,2.6100331843674724,0.0033832844813372017,0.029784984646754248,0.0023034377117784905,0.9991891981303955
R-HSA-8964572,5,11550,1,8948,3.873330875417793,0.24127787258517264,0.5601097833697817,0.18084254627648153,0.9679858468289289
R-HSA-162588,10,11545,18,8931,0.42978250680950303,0.034854810464948184,0.15809671413425863,0.9915749097950319,0.0223915094846657
R-HSA-174490,5,11550,9,8940,0.43002935144801446,0.1760034480282686,0.4564222857333351,0.9660377584607505,0.09932772102580018
R-HSA-917729,12,11543,19,8930,0.4886194770500485,0.06817562344695255,0.2567033107021856,0.9844895128260385,0.03633702619641345
R-HSA-9610379,32,11523,47,8902,0.5260115592567327,0.006021656669679582,0.04513985578964427,0.998393376088397,0.0032651440693083848
R-HSA-9615710,11,11544,23,8926,0.3698153561725076,0.005375886753891978,0.04190808532512481,0.9986414558369218,0.004067601774815985
R-HSA-1169091,42,11513,24,8925,1.356597372407807,0.26387862200852447,0.5603969292658895,0.14199851147148398,0.9072899631421314
R-HSA-1234176,39,11516,26,8923,1.1622308046768648,0.6170864348957763,0.9027777208948222,0.32146053935565355,0.7629150521550827
R-HSA-1236974,53,11502,37,8912,1.1099105764863346,0.6708557271623476,0.9335532772809368,0.3537820375369644,0.7220727795900428
R-HSA-1236978,35,11520,14,8935,1.9389426711838706,0.04243596362665096,0.17785052981929741,0.021924733736271854,0.989805018339099
R-HSA-174113,35,11520,19,8930,1.4279253225561053,0.21961739270272998,0.5323307714891425,0.13141826078029528,0.9192828265538465
R-HSA-174154,38,11517,29,8920,1.0148716885578533,1,1,0.5273951065725625,0.5705831321602393
R-HSA-174178,43,11512,30,8919,1.1105156658662394,0.7234134733134387,0.9733034841200834,0.37565127507878776,0.7103000122665086
R-HSA-174184,41,11514,31,8918,1.0243864872523145,0.9999999999999999,1,0.5091699086749989,0.5851270947344833
R-HSA-180534,33,11522,18,8931,1.4210384585037044,0.2593523057868638,0.5601097833697817,0.14373876494725743,0.9118432231434611
R-HSA-180585,32,11523,20,8929,1.2398024671941428,0.48647018952647453,0.7961469592176872,0.2708296020040678,0.8141073616637892
R-HSA-195253,41,11514,27,8922,1.176659237647063,0.5423271024913663,0.8310785961200553,0.2982605753184932,0.7811536268756003
R-HSA-211733,32,11523,17,8932,1.4590689544270026,0.24880332729406696,0.5601097833697817,0.13075622487033248,0.9218750391684353
R-HSA-2467813,109,11446,78,8871,1.083073944886447,0.6050207447507148,0.8879144035590695,0.3231058515180437,0.7282868483706042
R-HSA-349425,34,11521,17,8932,1.5505253333833926,0.157937618776064,0.42392744115922293,0.08815677685653892,0.9498015290431435
R-HSA-350562,37,11518,13,8936,2.2080200733225386,0.014425181134702175,0.08270437183895914,0.007625962384554786,0.9968491841596744
