unique_pathways,a_in_pathway_entangled,b_out_pathway_entangled,c_in_pathway_not_entangled,d_out_pathway_not_entangled,odds_ratios,two_sided_p_values,corrected_p_values,enrich_p_values,deplete_p_values
R-HSA-9013106,63,11492,10,8939,4.900095812936439,7.328275262535124e-8,5.835478449796487e-6,3.7655964901634714e-8,0.9999999926384034
R-HSA-9696270,36,11519,7,8942,3.9920391963255306,1.7623557923653036e-4,0.00360863328912895,1.3504554080333794e-4,0.9999686305625952
R-HSA-437239,44,11511,4,8945,8.549314195758905,1.0208131783412964e-7,7.315827778112625e-6,8.487979946771619e-8,0.999999990601755
R-HSA-8980692,129,11426,19,8930,5.305956294249289,9.036895137584645e-16,3.238220757634498e-13,4.513038380859408e-16,1
R-HSA-9013148,133,11422,21,8928,4.950107692860717,1.10776707770329e-15,3.4024274529458197e-13,8.437437053327804e-16,0.9999999999999998
R-HSA-9013149,163,11392,20,8929,6.387491024028302,5.716226468681082e-22,3.0724717269160807e-19,3.2673876617241672e-22,1
R-HSA-2672351,69,11486,9,8940,5.966858047800585,1.2342237692079664e-9,1.5609300610571346e-7,7.667246175052039e-10,0.999999999876285
R-HSA-193648,56,11499,3,8946,14.522122325008548,4.143019947535917e-11,7.422910739335184e-9,3.1030840814614675e-11,0.9999999999979508
R-HSA-416482,58,11497,22,8927,2.0469501547132154,0.00323649446725876,0.02978498464675424,0.00211176844040134,0.9990336552994864
R-HSA-9013406,47,11508,12,8937,3.0414250991473577,3.028546198487534e-4,0.00533719207110508,1.4943426468898264e-4,0.9999539395737604
R-HSA-9013408,56,11499,17,8932,2.5585965120226373,3.470430850557411e-4,0.00592176692753843,2.339315683991872e-4,0.9999138429011822
R-HSA-75876,20,11535,4,8945,3.877066223362188,0.00702916153965781,0.04797681685798193,0.00518853122279166,0.99882154289488
R-HSA-6811434,81,11474,20,8929,3.151457090112085,5.417605232343396e-7,3.0652240130363955e-5,3.8298548552644977e-7,0.9999998830860366
R-HSA-8876198,77,11478,12,8937,4.995806861428221,1.1701154675725675e-9,1.5609300610571346e-7,8.694929997966451e-10,0.9999999998320084
R-HSA-8873719,62,11493,3,8946,16.086204435550524,2.6367145710326768e-12,6.298818141911395e-10,1.310388792786852e-12,0.9999999999999216
R-HSA-5693568,31,11524,3,8946,8.019362014590504,1.47010461701644e-5,4.938632697789603e-4,1.0548871541440813e-5,0.9999987820033104
R-HSA-9662361,37,11518,11,8938,2.6100331843674724,0.0033832844813372,0.02978498464675424,0.00230343771177849,0.9991891981303956
R-HSA-8852276,56,11499,22,8927,1.9760274127021404,0.00586124104173675,0.04513985578964427,0.00358281149663281,0.9983078551612634
R-HSA-429947,23,11532,2,8947,8.923398761265572,1.580510143346382e-4,0.0033644522853413,1.1794422887436386e-4,0.999988031740384
R-HSA-9820841,22,11533,3,8946,5.687989258937688,9.76921838249138e-4,0.01265290332672076,7.482468656542067e-4,0.9998820557711257
R-HSA-1660661,30,11525,6,8943,3.8795618485197982,0.0010755931533887,0.01302692516550893,5.889797598560992e-4,0.9998611720328714
R-HSA-5663213,29,11526,6,8943,3.7499163920567353,0.00169715828555944,0.0188827101268767,8.800396449247596e-4,0.9997861467340834
R-HSA-9753281,26,11529,4,8945,5.042814268655904,6.452398967689211e-4,0.00950182039762452,4.024877249259864e-4,0.9999274952602766
R-HSA-1445148,55,11500,17,8932,2.5126916471432303,4.947716829288368e-4,0.00775271972440717,3.219787482549344e-4,0.99987942966854
R-HSA-190840,18,11537,2,8947,6.978623049888282,0.00237401185401553,0.02385105367352052,0.00135586686369998,0.99982884726943
R-HSA-2132295,86,11469,40,8909,1.6700546935860416,0.00679612837045961,0.04790713441471532,0.00408707512074849,0.9976840625858678
R-HSA-3371497,45,11510,12,8937,2.911494912465587,4.399656610329861e-4,0.00722081046733526,3.034692286552436e-4,0.999902646610517
R-HSA-389960,25,11530,1,8948,19.40058763689664,9.645213573564334e-6,3.895877032239123e-4,6.995218624921908e-6,0.999999669723384
R-HSA-5617833,19,11536,1,8948,14.737264421417825,3.4602701325179083e-4,0.00592176692753843,1.7115273056990036e-4,0.9999896364720032
R-HSA-5626467,28,11527,4,8945,5.431664063065659,2.3989070141031523e-4,0.00464653160389349,1.6510644939693263e-4,0.9999721847962292
R-HSA-8955332,42,11513,4,8945,8.155448641957742,2.892821628927258e-7,1.7434832050889237e-5,2.260414764426963e-7,0.9999999738474366
R-HSA-9609736,35,11520,9,8940,3.0177224921585006,0.00198950480162069,0.0203687396356404,0.00111258384956071,0.999661063020623
R-HSA-9619483,26,11529,2,8947,10.089398843719586,3.1503727421461316e-5,9.676144850877404e-4,2.6220579390056955e-5,0.9999976199689802
R-HSA-983189,55,11500,7,8942,6.109024712440139,4.6822971731633115e-8,4.0267755689204474e-6,3.3845335343271756e-8,0.9999999947130348
R-HSA-9013404,72,11483,15,8934,3.7342344299976302,3.201566371132668e-7,1.860369648090604e-5,1.5612900795772558e-7,0.9999999598573148
R-HSA-9013423,78,11477,15,8934,4.047539000077201,2.1781801794857033e-8,2.0361249503888093e-6,1.4291131801335832e-8,0.9999999965969578
R-HSA-70263,22,11533,3,8946,5.687989258937688,9.76921838249138e-4,0.01265290332672076,7.482468656542067e-4,0.9998820557711257
R-HSA-9013026,61,11494,9,8940,5.271380183016672,3.922360962408097e-8,3.5137816954905866e-6,2.7988110705492406e-8,0.9999999949171228
R-HSA-9013409,45,11510,9,8940,3.8833134039880903,4.4052970543042504e-5,0.0012799173873992,2.4476053736353892e-5,0.999994076732608
R-HSA-159227,28,11527,4,8945,5.431664063065659,2.3989070141031523e-4,0.00464653160389349,1.6510644939693263e-4,0.9999721847962292
R-HSA-159230,28,11527,5,8944,4.344845204037001,6.813482147813044e-4,0.00970131564092585,5.010381158634916e-4,0.9998948813481864
R-HSA-159231,34,11521,5,8944,5.278631575574651,6.120044095280241e-5,0.00164476185060656,3.71239663412369e-5,0.9999934744458931
R-HSA-159236,59,11496,12,8937,3.821956970798955,2.9686080859588627e-6,1.3480372924843046e-4,1.5887181316128332e-6,0.9999996040551724
R-HSA-165054,26,11529,6,8943,3.3611143184805417,0.00399613809555866,0.0336547380115515,0.00284429015807625,0.99923832926574
R-HSA-168325,32,11523,9,8940,2.758365928637868,0.00444388226633483,0.03605413914196186,0.00319618351219132,0.9989451971787728
R-HSA-168333,24,11531,5,8944,3.7228564425560142,0.00421744970275917,0.03460884298065735,0.00259415340504558,0.9993756442702502
R-HSA-170822,25,11530,4,8945,4.848439520793219,0.00105605002870804,0.0129743289241274,6.243557297497822e-4,0.999883497528916
R-HSA-180746,26,11529,5,8944,4.033797311778661,0.0017038460536779,0.0188827101268767,0.00115216187622568,0.9997416803810932
R-HSA-191859,41,11514,9,8940,3.5368968620238084,1.6382115931605785e-4,0.00341956788863615,1.1826170160181374e-4,0.9999688057771144
R-HSA-3232142,29,11526,6,8943,3.7499163920567353,0.00169715828555944,0.0188827101268767,8.800396449247596e-4,0.9997861467340834
R-HSA-3301854,27,11528,6,8943,3.490692603087856,0.00261542804532848,0.02576860676499002,0.00193451751704521,0.9994989618841366
R-HSA-3371453,51,11504,17,8932,2.3291522938294413,0.00198886515520923,0.0203687396356404,0.00111072502211203,0.9995543373895392
R-HSA-5619107,25,11530,4,8945,4.848439520793219,0.00105605002870804,0.0129743289241274,6.243557297497822e-4,0.999883497528916
R-HSA-6784531,41,11514,14,8935,2.272488921360956,0.00625912471829594,0.04513985578964427,0.0040537707282493,0.998358018200668
R-HSA-211945,22,11533,1,8948,17.068293327046995,5.69725019211602e-5,0.00155051745734803,3.487418783431483e-5,0.9999981495951036
R-HSA-211976,24,11531,1,8948,18.6230168363402,1.736921991739115e-5,5.745203511137074e-4,1.1968259616046652e-5,0.9999994133794604
R-HSA-9013424,33,11522,4,8945,6.404375023672779,3.413082578439462e-5,0.00101918438106178,1.6682971666366905e-5,0.9999975822509232
R-HSA-6798695,327,11228,151,8798,1.6968392500443503,5.44094391815034e-8,4.499242086162781e-6,3.143178990901719e-8,0.9999999817768384
R-HSA-1257604,65,11490,18,8931,2.8066528339282804,3.3240595370748924e-5,0.00100658140911422,2.339067040133183e-5,0.9999920704580724
R-HSA-72187,48,11507,9,8940,4.143283228484007,1.1268128323372944e-5,4.0673476761718375e-4,7.246613066854056e-6,0.9999983488280724
R-HSA-73856,52,11503,14,8935,2.8848744057217077,1.6319558906315073e-4,0.00341956788863615,1.145753507551994e-4,0.9999626041705708
R-HSA-936837,43,11512,12,8937,2.781610196384015,9.483156541271236e-4,0.01258567071835379,6.061216931117242e-4,0.999797312543542
R-HSA-6802952,51,11504,13,8936,3.047120830976768,1.20008606942111e-4,0.00268769275964102,7.703673698462992e-5,0.9999761893659864
R-HSA-6804756,72,11483,20,8929,2.7990948354797296,1.2503317561982658e-5,4.26700519972424e-4,8.95593445322337e-6,0.999996942310583
R-HSA-8856828,88,11467,40,8909,1.7091837577420943,0.00537773190921188,0.04190808532512481,0.00267656254476523,0.9985146123415328
R-HSA-176187,34,11521,3,8946,8.801566938544545,3.002072568603993e-6,1.3480372924843046e-4,2.417749076879582e-6,0.9999997437676664
R-HSA-68962,28,11527,5,8944,4.344845204037001,6.813482147813044e-4,0.00970131564092585,5.010381158634916e-4,0.9998948813481864
R-HSA-1660499,51,11504,2,8947,19.83108147403349,6.156773945351505e-11,1.0182356909619796e-8,5.2390212995776015e-11,0.9999999999974744
R-HSA-2219530,49,11506,16,8933,2.3775258409934668,0.00166062339234702,0.0188827101268767,0.0011392747453555,0.9995529238448428
R-HSA-6811558,66,11489,26,8923,1.971430391745601,0.00299891654046544,0.02891332090583273,0.00168804692109942,0.999193633156881
R-HSA-8853659,35,11520,4,8945,6.793530287236989,1.1729095624309483e-5,4.0673476761718375e-4,6.525554106811371e-6,0.9999991044755564
R-HSA-912526,23,11532,3,8946,5.947048171658635,5.952308401516838e-4,0.00894927486941342,4.729068886713231e-4,0.9999283552484904
R-HSA-156584,16,11539,1,8948,12.407530872524104,0.00101094155972219,0.01271066873334928,8.230129530538182e-4,0.9999419769632846
R-HSA-373753,20,11535,3,8946,5.170004926804235,0.00262480227048037,0.02576860676499002,0.00184680279139847,0.9996833098847332
R-HSA-3928662,34,11521,7,8942,3.769602574529275,4.236889641504672e-4,0.00700716363787311,3.021374786690072e-4,0.9999260575580238
R-HSA-418457,14,11541,1,8948,10.855120164877754,0.00308372276298569,0.02920706581682484,0.00231041177069264,0.999817086061865
R-HSA-2151201,39,11516,13,8936,2.3277677806560124,0.00731078768969241,0.04942828154980717,0.00419317341525094,0.99834612504047
R-HSA-72163,142,11413,62,8887,1.7833533902995402,1.1772345735920702e-4,0.00266426771918205,6.488015784761366e-5,0.9999648070486692
R-HSA-1660516,15,11540,1,8948,11.6312492464814,0.00176394291631478,0.0188827101268767,0.00138128635677658,0.9998969775564412
R-HSA-422356,23,11532,5,8944,3.567426174924434,0.00659766781468894,0.04688749471623654,0.00385848799960196,0.999036023981406
R-HSA-5673001,96,11459,21,8928,3.56146409701292,5.29780190601112e-9,5.905861378796598e-7,3.3265016519190373e-9,0.9999999990949724
R-HSA-109704,29,11526,2,8947,11.256064876095213,1.0504583348372787e-5,3.9622551226318407e-4,5.702580973864281e-6,0.999999531826936
R-HSA-114604,30,11525,5,8944,4.656000140153777,2.707992531235479e-4,0.00482241389732705,2.1385326591654905e-4,0.9999578476331096
R-HSA-1433557,27,11528,6,8943,3.490692603087856,0.00261542804532848,0.02576860676499002,0.00193451751704521,0.9994989618841366
R-HSA-186763,23,11532,3,8946,5.947048171658635,5.952308401516838e-4,0.00894927486941342,4.729068886713231e-4,0.9999283552484904
R-HSA-210993,15,11540,1,8948,11.6312492464814,0.00176394291631478,0.0188827101268767,0.00138128635677658,0.9998969775564412
R-HSA-4420097,52,11503,8,8941,5.051950626227741,6.413956804952827e-7,3.5358992642688664e-5,4.494382842299121e-7,0.9999999154662904
R-HSA-9696264,34,11521,8,8941,3.298027065228717,9.737993999307112e-4,0.01265290332672076,7.25937023064026e-4,0.9997975800611888
R-HSA-9696273,34,11521,8,8941,3.298027065228717,9.737993999307112e-4,0.01265290332672076,7.25937023064026e-4,0.9997975800611888
R-HSA-2022928,25,11530,6,8943,3.231558492599493,0.00608484109964142,0.04513985578964427,0.00415675357738152,0.9988478381237744
R-HSA-390471,36,11519,2,8947,13.98080462700796,1.9295258537147093e-7,1.2201413486725367e-5,1.51941100742329e-7,0.999999989802656
R-HSA-1912420,16,11539,2,8947,6.202542636965299,0.00696508908821023,0.04793296701906337,0.003495978158851,0.9995111076976708
R-HSA-877300,65,11490,26,8923,1.941393620696671,0.00400726182835217,0.0336547380115515,0.00217924651636571,0.9989444627000604
R-HSA-3238698,23,11532,3,8946,5.947048171658635,5.952308401516838e-4,0.00894927486941342,4.729068886713231e-4,0.9999283552484904
R-HSA-499943,24,11531,3,8946,6.2061516602009466,3.62522736179786e-4,0.00611585815231036,2.9761188529944e-4,0.999956601140214
R-HSA-9749641,41,11514,2,8947,15.929162529384302,2.1148397972836927e-8,2.0361249503888093e-6,1.0928433451430096e-8,0.9999999993512692
R-HSA-2426168,33,11522,7,8942,3.658413075275996,6.553596304797371e-4,0.00952042706440158,4.4899900892425793e-4,0.999887097429808
R-HSA-6794361,43,11512,14,8935,2.3837480343258894,0.0031801767973784,0.02978498464675424,0.00220878092906407,0.9991425952283476
R-HSA-71403,15,11540,2,8947,5.814382573084224,0.00685972389096143,0.04793296701906337,0.0055683368846974,0.9991769870469462
R-HSA-399956,15,11540,1,8948,11.6312492464814,0.00176394291631478,0.0188827101268767,0.00138128635677658,0.9998969775564412
R-HSA-4086400,18,11537,3,8946,4.6521981676597735,0.00700044262510972,0.04793296701906337,0.00446062297064635,0.9991615924874576
R-HSA-3214841,38,11517,8,8941,3.6873161576496543,2.616444976936008e-4,0.00482241389732705,1.5546539767110398e-4,0.9999608228995556
R-HSA-6782315,30,11525,6,8943,3.8795618485197982,0.0010755931533887,0.01302692516550893,5.889797598560992e-4,0.9998611720328714
R-HSA-1855183,13,11542,1,8948,10.079147226935929,0.00539932076049282,0.04190808532512481,0.00384980938219939,0.9996752528730278
R-HSA-193368,22,11533,1,8948,17.068293327046995,5.69725019211602e-5,0.00155051745734803,3.487418783431483e-5,0.9999981495951036
R-HSA-5693616,35,11520,4,8945,6.793530287236989,1.1729095624309483e-5,4.0673476761718375e-4,6.525554106811371e-6,0.9999991044755564
R-HSA-1483166,35,11520,4,8945,6.793530287236989,1.1729095624309483e-5,4.0673476761718375e-4,6.525554106811371e-6,0.9999991044755564
