#uniprot,entanglement
A0A024R1R8,No
A0A024RBG1,Yes
A0A024RCN7,No
A0A075B6H5,No
A0A075B6H7,No
A0A075B6H8,No
A0A075B6H9,No
A0A075B6I0,No
A0A075B6I1,Yes
A0A075B6I3,No
A0A075B6I4,No
A0A075B6I6,No
A0A075B6I7,No
A0A075B6I9,No
A0A075B6J1,Yes
A0A075B6J2,Yes
A0A075B6J6,Yes
A0A075B6J9,No
A0A075B6K0,No
A0A075B6K2,Yes
A0A075B6K4,No
A0A075B6K5,No
A0A075B6K6,No
A0A075B6L2,Yes
A0A075B6L6,Yes
A0A075B6N1,Yes
A0A075B6N2,Yes
A0A075B6N3,Yes
A0A075B6N4,Yes
A0A075B6P5,No
A0A075B6Q5,Yes
A0A075B6R0,Yes
A0A075B6R2,Yes
A0A075B6R9,No
A0A075B6S0,No
A0A075B6S2,No
A0A075B6S4,No
A0A075B6S5,Yes
A0A075B6S6,No
A0A075B6S9,Yes
A0A075B6T6,Yes
A0A075B6T7,Yes
A0A075B6T8,No
A0A075B6U4,Yes
A0A075B6U6,Yes
A0A075B6V2,No
A0A075B6V5,Yes
A0A075B6W5,Yes
A0A075B6X5,No
A0A075B6Y3,No
A0A075B6Y9,No
A0A075B700,No
A0A075B706,No
A0A075B734,Yes
A0A075B759,Yes
A0A075B767,Yes
A0A075B7B6,Yes
A0A075B7B8,Yes
A0A075B7D0,Yes
A0A075B7D4,No
A0A075B7D8,No
A0A075B7E8,Yes
A0A075B7F0,Yes
A0A075B7F1,Yes
A0A087WSX0,No
A0A087WSY4,Yes
A0A087WSY6,Yes
A0A087WSZ0,Yes
A0A087WSZ9,No
A0A087WT01,Yes
A0A087WT02,Yes
A0A087WT03,No
A0A087WTH1,No
A0A087WTH5,No
A0A087WUL8,Yes
A0A087WUM9,No
A0A087WUV0,No
A0A087WV53,No
A0A087WV62,Yes
A0A087WVF3,Yes
A0A087WW49,Yes
A0A087WW87,Yes
A0A087WWA1,No
A0A087WX78,No
A0A087WXM9,No
A0A087WXS9,Yes
A0A087WYE8,Yes
A0A087WZ39,Yes
A0A087X0K7,Yes
A0A087X0M5,Yes
A0A087X179,Yes
A0A087X1C1,No
A0A087X1C5,Yes
A0A087X1G2,Yes
A0A087X1L8,No
A0A096LNP1,Yes
A0A096LNT9,No
A0A096LNW5,No
A0A096LP01,No
A0A096LP49,Yes
A0A096LP55,No
A0A096LPG2,No
A0A096LPH7,Yes
A0A096LPI5,No
A0A096LPK6,Yes
A0A096LPK9,No
A0A0A0MRZ7,Yes
A0A0A0MRZ8,Yes
A0A0A0MRZ9,No
A0A0A0MS00,No
A0A0A0MS01,Yes
A0A0A0MS02,No
A0A0A0MS03,Yes
A0A0A0MS04,Yes
A0A0A0MS05,Yes
A0A0A0MS06,Yes
A0A0A0MS14,Yes
A0A0A0MS15,Yes
A0A0A0MT36,No
A0A0A0MT70,No
A0A0A0MT76,No
A0A0A0MT82,No
A0A0A0MT86,No
A0A0A0MT87,No
A0A0A0MT93,No
A0A0A0MT94,No
A0A0A0MT99,No
A0A0A0MTA7,No
A0A0A6YYC5,Yes
A0A0A6YYD4,No
A0A0A6YYG2,Yes
A0A0A6YYG3,Yes
A0A0A6YYJ7,Yes
A0A0A6YYK1,Yes
A0A0A6YYK4,Yes
A0A0A6YYK6,Yes
A0A0A6YYK7,Yes
A0A0A6YYL3,No
A0A0B4J1T7,Yes
A0A0B4J1U3,No
A0A0B4J1U4,Yes
A0A0B4J1U6,Yes
A0A0B4J1U7,No
A0A0B4J1V0,Yes
A0A0B4J1V1,Yes
A0A0B4J1V2,Yes
A0A0B4J1V6,No
A0A0B4J1V7,Yes
A0A0B4J1W7,No
A0A0B4J1X5,Yes
A0A0B4J1X8,No
A0A0B4J1Y8,Yes
A0A0B4J1Y9,Yes
A0A0B4J1Z2,Yes
A0A0B4J200,No
A0A0B4J234,No
A0A0B4J235,No
A0A0B4J237,Yes
A0A0B4J238,No
A0A0B4J240,No
A0A0B4J241,Yes
A0A0B4J244,Yes
A0A0B4J245,Yes
A0A0B4J248,No
A0A0B4J249,Yes
A0A0B4J262,Yes
A0A0B4J263,Yes
A0A0B4J264,Yes
A0A0B4J265,No
A0A0B4J266,Yes
A0A0B4J268,No
A0A0B4J271,Yes
A0A0B4J272,No
A0A0B4J273,Yes
A0A0B4J274,Yes
A0A0B4J275,Yes
A0A0B4J276,Yes
A0A0B4J277,Yes
A0A0B4J279,Yes
A0A0B4J280,Yes
A0A0B4J2A2,Yes
A0A0B4J2B6,Yes
A0A0B4J2B8,Yes
A0A0B4J2D5,Yes
A0A0B4J2D9,Yes
A0A0B4J2E0,Yes
A0A0B4J2E5,Yes
A0A0B4J2F0,No
A0A0B4J2F2,Yes
A0A0B4J2H0,Yes
A0A0C4DGP1,No
A0A0C4DH24,No
A0A0C4DH25,Yes
A0A0C4DH26,No
A0A0C4DH27,No
A0A0C4DH28,No
A0A0C4DH29,Yes
A0A0C4DH30,Yes
A0A0C4DH31,Yes
A0A0C4DH32,No
A0A0C4DH33,Yes
A0A0C4DH34,Yes
A0A0C4DH35,Yes
A0A0C4DH36,Yes
A0A0C4DH38,No
A0A0C4DH39,Yes
A0A0C4DH41,Yes
A0A0C4DH42,Yes
A0A0C4DH43,Yes
A0A0C4DH55,No
A0A0C4DH59,Yes
A0A0C4DH62,No
A0A0C4DH63,No
A0A0C4DH67,Yes
A0A0C4DH68,No
A0A0C4DH69,No
A0A0C4DH72,No
A0A0C4DH73,No
A0A0C4DH90,No
A0A0C5B5G6,No
A0A0D9SF12,No
A0A0G2JKD1,No
A0A0G2JKW9,No
A0A0G2JLE6,No
A0A0G2JLG4,Yes
A0A0G2JLM5,Yes
A0A0G2JLQ3,Yes
A0A0G2JLW4,No
A0A0G2JMD5,No
A0A0G2JMH3,No
A0A0G2JMH6,Yes
A0A0G2JMI3,Yes
A0A0G2JMM0,Yes
A0A0G2JMP0,No
A0A0G2JMS6,No
A0A0G2JN01,Yes
A0A0G2JN53,No
A0A0G2JN68,Yes
A0A0G2JND7,Yes
A0A0G2JNF4,Yes
A0A0G2JNG1,Yes
A0A0G2JNH3,No
A0A0G2JNJ9,No
A0A0G2JNQ3,Yes
A0A0G2JP20,No
A0A0G2JPB7,Yes
A0A0G2JPC4,Yes
A0A0G2JPF8,Yes
A0A0G2JPN4,No
A0A0G2JQ47,Yes
A0A0G2JQF1,No
A0A0G2JQZ4,No
A0A0G2JRQ6,Yes
A0A0G2JS06,No
A0A0J9YVY3,Yes
A0A0J9YW62,No
A0A0J9YWL9,No
A0A0J9YWP8,No
A0A0J9YWU9,Yes
A0A0J9YWX3,No
A0A0J9YX35,Yes
A0A0J9YX57,Yes
A0A0J9YX75,Yes
A0A0J9YX94,Yes
A0A0J9YXG5,No
A0A0J9YXM7,No
A0A0J9YXQ4,Yes
A0A0J9YXV3,Yes
A0A0J9YXX1,No
A0A0J9YXY3,Yes
A0A0J9YY54,Yes
A0A0J9YY99,Yes
A0A0K0K1A3,Yes
A0A0K0K1A5,Yes
A0A0K0K1B3,Yes
A0A0K0K1C0,No
A0A0K0K1C4,Yes
A0A0K0K1D8,Yes
A0A0K0K1E9,No
A0A0K0K1G6,Yes
A0A0K0K1G8,Yes
A0A0K2S4Q6,Yes
A0A0M3HER8,No
A0A0U1RQE8,Yes
A0A0U1RQF7,No
A0A0U1RQG5,No
A0A0U1RQI7,No
A0A0U1RQS6,No
A0A0U1RR11,Yes
A0A0U1RR37,No
A0A0U1RRA0,No
A0A0U1RRE5,No
A0A0U1RRI6,Yes
A0A0U1RRK4,No
A0A0U1RRL7,No
A0A0U1RRN3,No
A0A0X1KG70,Yes
A0A126GWB0,No
A0A126GWI2,No
A0A140G945,No
A0A140T8X8,No
A0A140TA62,No
A0A140TA64,Yes
A0A140TA67,No
A0A183,No
A0A191URJ7,Yes
A0A1B0GTC6,No
A0A1B0GTD5,No
A0A1B0GTE1,No
A0A1B0GTG8,No
A0A1B0GTH6,Yes
A0A1B0GTH9,No
A0A1B0GTI1,No
A0A1B0GTI8,No
A0A1B0GTJ6,No
A0A1B0GTK4,No
A0A1B0GTK5,No
A0A1B0GTL2,No
A0A1B0GTQ1,No
A0A1B0GTQ4,No
A0A1B0GTR0,No
A0A1B0GTR3,No
A0A1B0GTR4,No
A0A1B0GTS1,No
A0A1B0GTU1,Yes
A0A1B0GTU2,No
A0A1B0GTW7,Yes
A0A1B0GTY4,No
A0A1B0GTZ2,No
A0A1B0GU29,No
A0A1B0GU33,No
A0A1B0GU71,No
A0A1B0GUA5,No
A0A1B0GUA6,No
A0A1B0GUA7,No
A0A1B0GUA9,No
A0A1B0GUC4,No
A0A1B0GUI7,No
A0A1B0GUJ8,Yes
A0A1B0GUL7,Yes
A0A1B0GUQ0,No
A0A1B0GUS0,No
A0A1B0GUS4,No
A0A1B0GUT2,No
A0A1B0GUU1,No
A0A1B0GUV1,No
A0A1B0GUV7,No
A0A1B0GUV8,No
A0A1B0GUW6,Yes
A0A1B0GUW7,No
A0A1B0GUX0,No
A0A1B0GUY1,No
A0A1B0GUZ9,No
A0A1B0GV03,No
A0A1B0GV22,No
A0A1B0GV85,Yes
A0A1B0GV90,No
A0A1B0GV96,No
A0A1B0GVB3,No
A0A1B0GVD1,No
A0A1B0GVG4,No
A0A1B0GVG6,No
A0A1B0GVH4,Yes
A0A1B0GVH6,No
A0A1B0GVH7,Yes
A0A1B0GVK7,No
A0A1B0GVM5,No
A0A1B0GVM6,No
A0A1B0GVN3,No
A0A1B0GVQ0,No
A0A1B0GVQ3,No
A0A1B0GVR7,No
A0A1B0GVS7,No
A0A1B0GVT2,No
A0A1B0GVV1,No
A0A1B0GVX0,No
A0A1B0GVY2,No
A0A1B0GVY4,No
A0A1B0GVZ2,No
A0A1B0GVZ6,No
A0A1B0GVZ9,No
A0A1B0GW15,No
A0A1B0GW35,No
A0A1B0GW54,No
A0A1B0GW64,No
A0A1B0GWB2,No
A0A1B0GWG4,No
A0A1B0GWH4,No
A0A1B0GWH6,No
A0A1B0GWI6,No
A0A1B0GWK0,No
A0A1B0GX31,No
A0A1B0GX49,Yes
A0A1B0GX51,Yes
A0A1B0GX56,Yes
A0A1B0GX68,No
A0A1B0GX78,Yes
A0A1B0GX95,No
A0A1B0GXF2,Yes
A0A1W2PN81,Yes
A0A1W2PNU3,No
A0A1W2PP81,No
A0A1W2PP97,No
A0A1W2PPD8,No
A0A1W2PPE2,No
A0A1W2PPE3,No
A0A1W2PPF3,No
A0A1W2PPG7,No
A0A1W2PPH5,No
A0A1W2PPK0,Yes
A0A1W2PPL8,No
A0A1W2PPM0,No
A0A1W2PPM1,No
A0A1W2PPW3,No
A0A1W2PQ09,No
A0A1W2PQ27,Yes
A0A1W2PQ64,Yes
A0A1W2PQ72,No
A0A1W2PQ73,No
A0A1W2PQC6,Yes
A0A1W2PQD8,Yes
A0A1W2PQF6,Yes
A0A1W2PQJ5,Yes
A0A1W2PQL4,Yes
A0A1W2PQM1,Yes
A0A1W2PQU2,No
A0A1W2PR19,Yes
A0A1W2PR48,Yes
A0A1W2PR64,No
A0A1W2PR75,Yes
A0A1W2PR80,No
A0A1W2PR82,No
A0A1W2PR95,No
A0A1W2PRE2,No
A0A1W2PRG0,Yes
A0A1W2PRN1,No
A0A1W2PRN6,No
A0A1W2PRP0,Yes
A0A1W2PRS3,Yes
A0A1W2PRV1,No
A0A1W2PS18,No
A0A286YEU6,No
A0A286YEV6,No
A0A286YEX9,No
A0A286YEY9,No
A0A286YF01,No
A0A286YF18,No
A0A286YF46,No
A0A286YF58,No
A0A286YF60,No
A0A286YF77,No
A0A286YFB4,No
A0A286YFG1,No
A0A286YFK9,No
A0A2R8Y2Y2,No
A0A2R8Y422,No
A0A2R8Y4L2,Yes
A0A2R8Y4L6,No
A0A2R8Y4M2,No
A0A2R8Y4M4,No
A0A2R8Y4Y8,No
A0A2R8Y556,No
A0A2R8Y5M8,Yes
A0A2R8Y619,No
A0A2R8Y747,No
A0A2R8Y7D0,Yes
A0A2R8Y7Y5,No
A0A2R8YCJ5,No
A0A2R8YCY7,Yes
A0A2R8YD15,No
A0A2R8YE69,No
A0A2R8YED5,No
A0A2R8YEG4,No
A0A2R8YEH3,No
A0A2R8YEV3,No
A0A2R8YFL7,No
A0A2R8YFM6,No
A0A2R8YFR7,Yes
A0A2U3TZM8,No
A0A2Z4LIS9,No
A0A376A8Z9,Yes
A0A3B3IRQ3,No
A0A3B3IRS2,No
A0A3B3IRV3,Yes
A0A3B3IT33,Yes
A0A3B3IT34,No
A0A3B3IT45,No
A0A3B3IT52,No
A0A3B3IU46,No
A0A3B3IU63,No
A0A494BZU2,No
A0A494BZU4,No
A0A494BZZ5,No
A0A494C030,No
A0A494C071,Yes
A0A494C086,No
A0A494C0B9,No
A0A494C0I6,No
A0A494C0N9,No
A0A494C0Y3,No
A0A494C0Z2,No
A0A494C103,Yes
A0A494C162,No
A0A494C176,No
A0A494C191,No
A0A494C193,No
A0A494C1I1,No
A0A494C1R9,No
A0A499FJF3,Yes
A0A4W9AIG4,No
A0A539,Yes
A0A576,Yes
A0A577,Yes
A0A578,Yes
A0A584,No
A0A589,Yes
A0A590UJ96,No
A0A590UK24,No
A0A590UK83,Yes
A0A597,Yes
A0A599,Yes
A0A5A2,Yes
A0A5A6,Yes
A0A5B0,Yes
A0A5B6,Yes
A0A5B7,Yes
A0A5B9,Yes
A0A5F9Z9Y6,Yes
A0A5F9ZGZ6,Yes
A0A5F9ZH02,No
A0A5F9ZH88,Yes
A0A5F9ZHI8,No
A0A5F9ZHS0,No
A0A5F9ZHS7,No
A0A5F9ZHU2,No
A0A5K1VDZ0,Yes
A0A5S8K742,Yes
A0A669KAW2,No
A0A669KB60,No
A0A6I8PS25,No
A0A6I8PU40,No
A0A6Q8PFC9,No
A0A6Q8PFD8,No
A0A6Q8PFQ6,No
A0A6Q8PGL7,Yes
A0A6Q8PGS0,No
A0A6Q8PGZ6,No
A0A6Q8PGZ7,No
A0A6Q8PHA8,No
A0A6Q8PHR7,No
A0A6Q8PHS2,No
A0A7E1QX52,No
A0A7I2V2S6,No
A0A7I2V3D3,No
A0A7I2V3R4,No
A0A7I2V4K3,No
A0A7I2V4U8,No
A0A7I2V5U8,No
A0A7I2V6D3,No
A0AUZ9,Yes
A0AV02,Yes
A0AV96,Yes
A0AVF1,No
A0AVI2,Yes
A0AVI4,No
A0AVK6,Yes
A0AVT1,Yes
A0FGR8,Yes
A0FGR9,Yes
A0JD32,Yes
A0JD36,Yes
A0JD37,No
A0JLT2,No
A0JNW5,No
A0JP26,No
A0M8Q6,No
A0MZ66,Yes
A0N4X2,No
A0N4X5,No
A0N4Z3,No
A0N4Z7,No
A0N4Z8,No
A0PG75,Yes
A0PJE2,Yes
A0PJK1,No
A0PJW6,Yes
A0PJW8,No
A0PJX0,No
A0PJX2,Yes
A0PJX4,Yes
A0PJX8,Yes
A0PJY2,Yes
A0PJZ0,No
A0PJZ3,Yes
A0PK00,No
A0PK05,No
A0PK11,No
A0ZSE6,No
A1A4F0,No
A1A4G5,No
A1A4S6,Yes
A1A4V9,No
A1A4Y4,Yes
A1A519,Yes
A1A580,No
A1A5B4,Yes
A1A5C7,Yes
A1A5D9,No
A1E959,No
A1IGU5,Yes
A1KXE4,No
A1KZ92,No
A1L020,No
A1L0T0,Yes
A1L157,No
A1L162,No
A1L167,Yes
A1L168,No
A1L170,No
A1L188,No
A1L190,No
A1L1A6,No
A1L390,Yes
A1L3X0,Yes
A1L3X4,No
A1L429,No
A1L443,Yes
A1L453,Yes
A1L4H1,Yes
A1L4K1,No
A1L4L8,Yes
A1L4Q6,Yes
A1X283,Yes
A1XBS5,No
A1YPR0,No
A1Z1Q3,Yes
A2A288,Yes
A2A2V5,No
A2A2Y4,Yes
A2A2Z9,No
A2A368,Yes
A2A3K4,No
A2A3L6,No
A2A3N6,Yes
A2AJT9,No
A2CJ06,Yes
A2IDD5,No
A2NJV5,No
